Year,Maha Total Rainfall,Maha Temp Average,Maha Average Of Max Temp,Maha Highest Monthly  Average of MaxTemp,Maha Average Of Min Temp,Maha Lowest Monthly  Average of Min Temp
1993,1226.995,25.36817763,28.48902677,30.23241935,23.07401008,22.20068548
1994,398.68375,26.47712788,30.81819448,34.42177419,23.44066372,22.84642857
1995,193.85875,27.19067894,32.16107386,35.46822581,23.70498648,22.69439516
1996,166.1075,27.13788065,32.65279133,35.65052419,23.15645513,22.1216129
1997,632.61875,26.68649728,30.76019304,35.18576613,23.73824102,22.82241935
1998,1045.30125,25.60814659,29.13302531,31.77858871,22.99029442,22.00193548
1999,621.09,25.79976033,29.68155981,33.03064516,23.06871335,22.23741935
2000,773.06875,25.77516881,29.86570885,33.74116935,22.74455384,20.86861607
2001,752.82625,25.97411689,29.77322433,32.72233871,23.27442127,22.21568548
2002,1089.65875,25.66869003,28.99898861,31.32064516,23.26038622,22.28004032
2003,719.5925,26.36824289,30.58505431,33.57358871,23.35212292,22.40982759
2004,1234.64125,25.54917896,28.71052143,30.54052419,23.23121462,22.19272321
2005,1027.99625,25.47066148,28.8061379,31.43282258,22.99006893,21.83528226
2006,1043.81,25.51776491,29.25978021,31.99919355,22.77470257,21.86612903
2007,1218.1525,25.37060944,28.69749266,30.40407258,22.8914713,22.0021371
2008,824.60875,25.95322589,30.13368337,32.07044355,22.88929479,21.60352679
2009,1073.76875,26.03448733,29.83034215,33.42919355,23.2045942,22.22604839
2010,2499.6175,25.14791547,28.06130285,30.16528226,22.96258551,22.53685484
2011,1284.86,25.55754449,29.10066997,31.12971774,22.83453456,21.46391129
2012,2113.03125,25.58800296,28.71528754,30.9741129,23.24152019,22.33354839
2013,694.8775,26.02780136,30.18024603,32.71584677,23.05632882,22.11455357
2014,1797.9725,25.41343716,28.54841063,30.09927419,23.09155068,21.92064516
2015,1490.1275,25.99700981,29.27042034,32.05548387,23.57738112,22.75625
2016,882.7025,26.11315523,30.41690959,34.59459677,23.01711188,21.86891129
2017,1009.19125,25.81353683,29.52823714,32.16104839,23.07122401,21.59504032
2018,878.1975,25.89995006,29.63601954,33.86310484,23.12479586,21.81596774
2019,1406.58,25.98078064,29.49548185,32.79552419,23.33941781,22.51693966
2020,1367.53625,25.94597133,29.35280842,33.23407258,23.43115483,22.45544643
2021,1542.5175,25.70677499,28.9857901,30.54084677,23.22302747,22.53075893
2022,1522.32125,25.32154466,28.56479592,30.56504032,22.88743328,21.92556452
2023,2302.6,26.23054261,29.36715588,31.0891129,23.92694499,23.19072581
2024,,,,,,
