YEAR, MAINLY BY TRACTOR , BUFFALOE PLOUGHED , BUFFALOE MUDDED , BY MAMOTEE , MANNUAL , MACHINE , SCORE MAINLY BY TRACTOR , SCORE BUFFALOE PLOUGHED , SCORE BUFFALOE MUDDED , SCORE BY MAMOTEE , SCORE MANNUAL , SCORE MACHINE , CHEMICAL ONLY , ORGANIC ONLY , BOTH , NONE , SCORE CHEMICAL ONLY , SCORE ORGANIC ONLY , SCORE BOTH , SCORE NONE , HAND , WEEDICIDE , WATER , NONE , SCORE HAND , SCORE WEEDICIDE , SCORE WATER , SCORE NONE , USED , NOT USED , SCORE USED , SCORE NOT USED , SHORT  GRAIN RED , LONG GRAIN RED , SHORT GRAIN WHITE , LONG GRAIN WHITE , OTHERS , SCORE SHORT  GRAIN RED , SCORE LONG GRAIN RED , SCORE SHORT GRAIN WHITE , SCORE  LONG GRAIN WHITE , SCORE OTHERS ,TOTALTECHNOLOGYSCORE,TOTALFERTILIZERSCORE,TOTALWEEDINGSCORE,TOTALINSECTICIDESSCORE,TOTALSEEDSCORE,AverageYieldKgPERha
2015,99.80%,0.10%,0.00%,0.10%,30.10%,69.90%,15.968,0.014,0,0.014,4.515,11.184,67.40%,0.00%,32.60%,0.00%,2.7, -   ,1.63, -   ,11.20%,88.70%,0.00%,0.10%,0.34,3.55, -   , -   ,92.20%,7.80%,1.84, -   ,6.40%,35.60%,6.40%,51.60%,0.00%,0.19,1.42,0.26,2.58, -   ,31.695,4.33,3.88,1.84,4.45,4906
2016,99.90%,0.10%,0.00%,0.00%,4.20%,95.80%,15.984,0.014,0,0,0.63,15.328,59.40%,0.00%,40.60%,0.00%,2.38, -   ,2.03, -   ,8.40%,88.40%,3.20%,0.00%,0.25,3.54,0.06, -   ,75.00%,25.00%,1.5, -   ,6.50%,25.00%,10.70%,57.80%,0.00%,0.2,1,0.43,2.89, -   ,31.956,4.41,3.85,1.5,4.51,4766
2017,98.30%,1.70%,0.00%,0.00%,10.00%,90.00%,15.728,0.238,0,0,1.5,14.4,58.50%,0.00%,41.50%,0.00%,2.34, -   ,2.08, -   ,3.50%,94.30%,2.20%,0.00%,0.11,3.77,0.04, -   ,86.70%,13.30%,1.73, -   ,0.30%,38.20%,13.70%,47.80%,0.00%,0.01,1.53,0.55,2.39, -   ,31.866,4.42,3.92,1.73,4.48,4251
2018,98.90%,1.10%,0.00%,0.00%,2.20%,97.80%,15.824,0.154,0,0,0.33,15.648,81.30%,0.00%,18.70%,0.00%,3.25, -   ,0.94, -   ,13.90%,86.00%,0.10%,0.00%,0.42,3.44,0, -   ,93.00%,7.00%,1.86, -   ,1.50%,40.50%,20.30%,37.30%,0.40%,0.05,1.62,0.81,1.87,0.01,31.956,4.19,3.86,1.86,4.35,4840
2019,96.00%,2.50%,0.00%,1.50%,1.90%,98.10%,15.36,0.35,0,0.21,0.285,15.696,76.40%,0.00%,23.60%,0.00%,3.06, -   ,1.18, -   ,12.20%,87.40%,0.40%,0.00%,0.37,3.5,0.01, -   ,79.20%,20.80%,1.58, -   ,5.10%,36.90%,43.10%,14.70%,0.20%,0.15,1.48,1.72,0.74,0,31.901,4.24,3.87,1.58,4.09,5377
2020,100.00%,0.00%,0.00%,0.00%,5.50%,94.50%,16,0,0,0,0.825,15.12,27.50%,1.00%,71.50%,0.00%,1.1,0.03,3.58, -   ,1.40%,98.60%,0.00%,0.00%,0.04,3.94, -   , -   ,93.50%,6.50%,1.87, -   ,0.50%,48.10%,11.60%,39.80%,0.00%,0.02,1.92,0.46,1.99, -   ,31.945,4.71,3.99,1.87,4.39,5003
2021,98.90%,1.10%,0.00%,0.00%,4.60%,95.40%,15.824,0.154,0,0,0.69,15.264,68.70%,29.70%,1.50%,0.00%,2.75,0.89,0.08, -   ,19.00%,81.00%,0.00%,0.00%,0.57,3.24, -   , -   ,79.70%,20.30%,1.59, -   ,8.00%,38.80%,16.90%,36.30%,0.00%,0.24,1.55,0.68,1.82, -   ,31.932,3.71,3.81,1.59,4.28,5229
2022,99.90%,0.10%,0.00%,0.00%,2.70%,97.30%,15.984,0.014,0,0,0.405,15.568,7.90%,7.60%,84.30%,0.20%,0.32,0.23,4.22, -   ,17.10%,73.40%,7.10%,2.40%,0.51,2.94,0.14, -   ,59.40%,40.60%,1.19, -   ,0.60%,46.50%,11.10%,41.69%,0.00%,0.02,1.86,0.44,2.08, -   ,31.971,4.76,3.59,1.19,4.41,3708
2023,99.50%,0.40%,0.00%,0.10%,9.50%,90.50%,15.92,0.056,0,0.014,1.425,14.48,45.60%,1.50%,52.70%,0.30%,1.82,0.05,2.64, -   ,10.20%,89.30%,0.00%,0.50%,0.31,3.57, -   , -   ,72.90%,27.10%,1.46, -   ,0.00%,53.70%,10.60%,34.90%,0.70%, -   ,2.15,0.42,1.75,0.01,31.895,4.5,3.88,1.46,4.33,4338
